Start Date	2014.01.01															
End Date	2019.01.01															
																
	SPX Index	AMZN US Equity	GOOGL US Equity	FB US Equity	MSFT US Equity	JNJ US Equity	PFE US Equity	XOM US Equity	JPM US Equity	BRK/A US Equity	BA US Equity	HD US Equity	WMT US Equity	WFC US Equity	VZ US Equity	PEP US Equity
	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST
2014.01.28	1792,5	394,43	562,049	55,14	36,27	90,1	30,42	95,65	55,74	169212	137,09	78,54	74,67	45,96	47,36	82,32
2014.01.29	1774,2	384,2	553,996	53,53	36,66	88,9	30,11	95,11	55,53	168748	129,78	76,68	74,1	45,59	47,69	80,22
2014.01.30	1794,19	403,01	568,247	61,08	36,86	89,5	30,82	93,99	56	170450	126,53	76,93	74,75	46,05	47,63	81,08
2014.01.31	1782,59	358,69	591,057	62,57	37,84	88,47	30,4	92,16	55,36	169511,91	125,26	76,85	74,68	45,34	48,02	80,36
2014.02.03	1741,89	346,15	567,264	61,48	36,48	86,78	30,6	90,05	54,31	165265	123,08	75,09	72,66	44,43	46,41	78,57
2014.02.04	1755,2	347,95	569,631	62,75	36,35	86,62	31,44	90,02	54,95	164817	122,04	74,97	72,73	44,77	46,82	78,82
2014.02.05	1751,64	346,45	572,154	62,19	35,82	87,28	30,65	89,58	55,21	164075,09	121,4	75,26	72,87	44,23	46,69	79,42
2014.02.06	1773,43	354,59	580,542	62,16	36,18	88,75	30,84	89,8	56,48	166000	122,67	76,16	72,82	44,78	46,68	79,39
2014.02.07	1797,02	361,08	589,29	64,32	36,56	90,04	31,22	90,58	56,62	169010	127,02	76,45	73,75	45,37	46,81	80,22
2014.02.10	1799,84	360,87	587,033	63,548	36,8	91,07	31,47	89,52	56,74	169120	127,16	76,41	73,76	45,52	46,91	80,6
2014.02.11	1819,75	361,79	595,667	64,851	37,175	92,97	31,88	90,84	57,43	170515	130,16	76,7	74,8	45,97	47,21	81,25
2014.02.12	1819,26	349,25	593,92	64,45	37,47	92,42	31,61	91,08	57,52	170140	128,13	77,28	74,96	45,99	47,37	81,49
2014.02.13	1829,83	357,2	600,531	67,33	37,61	92,56	31,7	91,43	58,03	172222	129,5	77,59	75,36	45,98	47,31	79,69
2014.02.14	1838,63	357,35	601,983	67,09	37,62	92,76	31,94	94,11	58,15	172425	130,16	77,93	75,79	46,13	46,51	78,09
2014.02.17	1838,63	357,35	601,983	67,09	37,62	92,76	31,94	94,11	58,15	172425	130,16	77,93	75,79	46,13	46,51	78,09
2014.02.18	1840,76	353,65	606,027	67,3	37,42	92,17	31,88	94,07	58,49	172292	130,63	77,57	75,33	46,13	45,98	78,18
2014.02.19	1828,75	347,38	601,753	68,06	37,51	91,64	31,48	93,95	57,26	170080	128,39	76,45	74,85	45,53	46,53	77,1
2014.02.20	1839,78	349,8	602,638	69,63	37,75	92,38	31,55	95,37	57,58	169844	129,56	77,48	73,52	45,63	48,12	78,01
2014.02.21	1836,25	346,76	602,478	68,59	37,98	91,52	31,46	95,03	57,61	170120	128,28	77,74	73,12	45,6	47,27	78,22
2014.02.24	1847,61	351,78	606,842	70,78	37,69	91,11	31,99	96,44	58,03	170006	129,59	77,87	73,35	46,08	46,23	78,88
2014.02.25	1845,12	358,32	610,591	69,85	37,54	91,11	31,89	96,31	57,03	170721	126,78	80,98	73,35	46,08	46,29	79,23
2014.02.26	1845,16	359,8	610,676	69,26	37,47	91,11	31,99	95,79	56,75	170473	126,61	81,7	74,78	46,05	46,35	78,65
2014.02.27	1854,29	360,13	610,196	68,94	37,86	91,36	32,23	95,84	56,69	171730	128,56	81,97	74,56	46,05	47,5	79,07
2014.02.28	1859,45	362,1	608,414	68,46	38,31	92,12	32,11	96,27	56,82	173708	128,92	82,03	74,7	46,42	47,58	80,07
2014.03.03	1845,73	359,78	601,928	67,41	37,78	91,56	31,98	95,5	56,21	174500	128,22	82	74,12	46,15	47,31	79,52
2014.03.04	1873,91	363,9	608,044	68,8	38,41	93,34	32,69	96,52	57,26	177989,08	130,23	82,87	75,13	46,74	47,9	80,85
2014.03.05	1873,81	372,37	609,72	71,57	38,11	92,59	32,75	93,8	58,16	178655	128,79	82,91	74,8	47,09	47,38	81,11
2014.03.06	1877,03	372,16	610,396	70,84	38,15	92,89	32,46	93,76	58,9	182175	128,86	82,41	74,88	47,34	47,46	81,33
2014.03.07	1878,04	372,06	607,984	69,8	37,9	93,32	32,43	94,99	59,4	183772	128,54	82,55	74,58	47,95	47,15	81,56
2014.03.10	1877,17	370,53	606,372	72,03	37,82	93,45	32,39	95,5	59,2	186400	126,89	82,18	74,43	48,15	47,03	81,73
2014.03.11	1867,63	368,82	600,576	70,1	38,02	93,49	32,42	94,01	58,19	187101	125,67	81,29	74,92	47,81	46,7	82,81
2014.03.12	1868,2	370,64	604,235	70,88	38,27	93,6	31,98	94,21	57,92	187750	124,43	80,56	75,53	48,12	46,36	82,15
2014.03.13	1846,34	371,51	595,106	68,83	37,89	93	31,12	93,64	57,42	185750	121,89	78,8	74,93	47,84	46,03	81,8
2014.03.14	1841,13	373,74	586,968	67,72	37,7	92,81	31,23	93,47	56,8	183860	123,11	79,38	74,28	47,4	46,08	81
2014.03.17	1858,83	375,04	596,628	68,74	38,05	93,93	31,42	94,32	57,58	185050	125,42	79,58	74,68	48,13	46,31	82,05
2014.03.18	1872,25	378,77	606,217	69,19	39,55	93,94	31,93	94,71	58,06	184860	124,04	79,82	74,77	48,4	46,7	81,95
2014.03.19	1860,77	373,23	600,206	68,24	39,27	93,59	31,71	93,73	58,3	183860	122,24	79,75	74,38	47,81	46,36	81,37
2014.03.20	1872,01	368,97	599,16	66,97	40,33	94,12	31,91	94,58	60,11	186540	123,73	80,09	75,38	49,03	47,21	81,86
2014.03.21	1866,52	360,62	592,093	67,24	40,16	95,93	32,18	94,31	60,17	187850	122,58	80,42	76,1	49,12	46,91	82,14
2014.03.24	1857,44	351,85	579,526	64,1	40,5	95,2	31,49	94,64	61,07	186520	123,42	79,66	76,76	48,98	47,01	81,89
2014.03.25	1865,62	354,71	579,921	64,89	40,34	97,38	31,82	94,91	60,93	186587	124,02	79,47	76,87	48,96	47,22	82,4
2014.03.26	1852,56	343,41	566,533	60,385	39,79	97,05	32,18	94,7	59,9	184540	123,53	78,87	76,23	48,5	47,01	82,87
2014.03.27	1849,04	338,47	557,68	60,97	39,36	97,28	32,1	96,24	59,92	185200	123,21	78,68	76,14	49,1	47,69	82,54
2014.03.28	1857,62	338,29	560,618	60,01	40,3	97,44	31,88	97,7	60,04	185149	124,46	78,72	76,01	49,29	47,42	82,95
2014.03.31	1872,34	336,365	557,795	60,24	40,99	98,23	32,12	97,68	60,71	187350,05	125,49	79,13	76,43	49,74	47,57	83,5
2014.04.01	1885,52	342,99	567,995	62,62	41,42	97,94	31,95	97,73	60,67	187213	128,21	79,38	76,77	49,77	47,75	82,88
2014.04.02	1890,9	341,96	568,1	62,72	41,35	98,23	32,29	97,95	60,48	186759	128,31	79,95	77,18	49,76	47,82	82,73
2014.04.03	1888,77	333,62	571,5	59,49	41,01	98,26	32,4	97,93	60,66	186287	128,78	79,4	77,46	49,83	48,12	82,91
2014.04.04	1865,09	323	545,25	56,749	39,87	98,42	32,16	97,36	59,81	185753	127,38	78,72	77,31	49,56	48,04	82,59
2014.04.07	1845,04	317,76	540,63	56,95	39,8	97,89	31,2	96,78	59	184700	125,59	77,13	77,31	48,66	48,12	83,91
2014.04.08	1851,96	327,07	557,51	58,19	39,82	98,06	30,87	97,45	58,85	184640	124,15	77,11	78,18	48,83	48,21	83,47
2014.04.09	1872,18	331,805	567,04	62,41	40,47	98,95	31,23	97,33	59,27	185897	126,88	77,76	77,97	49,1	47,98	83,91
2014.04.10	1833,08	317,11	546,69	59,16	39,36	96,54	30,61	96,78	57,4	183402	123,64	76,78	76,89	47,71	47,47	83,62
2014.04.11	1815,69	311,73	537,76	58,53	39,209	96,87	29,86	96,72	55,3	182759,5	122,07	75,7	76,5	48,08	47,07	83,15
2014.04.14	1830,61	315,91	545,2	58,89	39,18	97,14	29,87	97,86	54,96	183212	123,25	75,97	77,38	48,11	47,27	83,55
2014.04.15	1842,98	316,08	548,7	59,09	39,75	99,2	29,89	98,68	54,8	185640	124,27	75,89	76,88	48,78	46,92	83,96
2014.04.16	1862,31	323,68	563,9	59,72	40,4	98,75	30,09	99,94	55,26	188900	126,04	76,58	77,22	49,09	47,1	84,77
2014.04.17	1864,85	324,91	543,34	58,94	40,01	98,96	30,25	100,42	55,22	190639	127,92	77,09	77,66	48,93	47,6	85,55
2014.04.18	1864,85	324,91	543,34	58,94	40,01	98,96	30,25	100,42	55,22	190639	127,92	77,09	77,66	48,93	47,6	85,55
2014.04.21	1871,89	330,87	539,37	61,24	39,94	100	30,86	100,93	55,03	189482	127,82	77,96	77,6	49,12	47,98	85,91
2014.04.22	1879,55	329,32	545,5	63,03	39,99	100,18	31	100,37	55,81	190720	127,55	79,67	77,56	49,23	47,92	85,14
2014.04.23	1875,39	324,58	537,51	61,36	39,69	100,22	30,92	100,5	56,05	190800	130,63	78,52	78,04	49,59	47,43	85,41
2014.04.24	1878,61	337,15	534,44	60,87	39,86	99,96	30,71	100,01	56,19	190500	129,86	79,77	78,31	49,32	46,28	85,52
2014.04.25	1863,4	303,83	523,1	57,71	39,91	99,79	30,75	100,41	55,7	190686	128,66	79,38	78,62	49,05	45,94	85,25
2014.04.28	1869,43	296,58	522,98	56,14	40,87	101,34	32,04	101,17	55,49	191400	127,04	80,17	79,76	48,94	46,6	86,82
2014.04.29	1878,33	300,38	536,33	58,15	40,51	101,03	31,76	101,45	56,1	192545	128,37	79,52	79,67	49,47	46,77	85,76
2014.04.30	1883,95	304,13	534,88	59,78	40,4	101,29	31,28	102,41	55,98	193275	129,02	79,51	79,71	49,64	46,73	85,89
2014.05.01	1883,68	307,89	538,53	61,15	40	100,53	31,15	101,41	55,72	193483	128,46	79,33	79,7	49,64	47,22	85,57
2014.05.02	1881,14	308,01	533,87	60,46	39,69	99,31	30,75	102,01	55,58	192255	129,94	79,4	79,12	49,58	47,12	85,52
2014.05.05	1884,66	310,05	535,33	61,22	39,43	100	29,96	102,91	54,22	189790	131,96	78,69	78,62	49,56	47,39	85,91
2014.05.06	1867,72	297,38	522,57	58,53	39,06	99,51	29,43	102,67	53,34	187375	130,83	77,42	78,01	49,09	47,47	85,37
2014.05.07	1878,21	292,71	518	57,39	39,425	100,91	29,02	103,11	54,05	191550	130,35	77,08	77,96	49,39	48,1	86,8
2014.05.08	1875,63	288,32	520,17	56,76	39,64	100,5	29,17	102,32	54,36	190100	130,57	77,05	78,69	49,33	48,49	86,66
2014.05.09	1878,48	292,24	526,62	57,24	39,54	100,91	29,03	101,95	54,01	190883,02	131,1	77,71	79,2	49,08	48,48	87,17
2014.05.12	1896,65	302,86	538,43	59,83	39,97	100,52	29,13	102,23	54,65	191115	132,6	78,27	79,15	49,76	48,16	86,93
2014.05.13	1897,45	304,64	541,54	59,83	40,42	101,02	29,2	102,36	54,62	191826	133,45	77,27	79,14	49,81	47,85	87,23
2014.05.14	1888,53	297,62	534,41	59,23	40,24	100,87	29,1	102,29	54,36	191420	132,99	76,31	78,74	49,29	48,01	86,84
2014.05.15	1870,85	295,19	529,12	57,919	39,6	100,69	29,06	100,78	53,51	189371	131,21	76,24	76,83	49,03	47,96	85,74
2014.05.16	1877,86	297,7	528,3	58,02	39,83	100,58	29,12	100,74	53,31	190210	130,81	77,36	77,01	49,08	49,07	86,54
2014.05.19	1885,08	296,755	538,83	59,21	39,75	100,64	29,28	100,87	53,83	190400	131,35	76,5	76,61	49,49	49,15	86,1
2014.05.20	1872,83	301,19	540,39	58,56	39,68	100,25	29,25	100,67	53,72	189201	129,58	77,96	75,69	48,96	48,65	85,65
2014.05.21	1888,03	305,01	549,7	60,49	40,35	101,14	29,57	102,03	54,12	189975	130,96	78,08	75,66	49,67	49,17	86,1
2014.05.22	1892,49	304,91	555,45	60,52	40,1	100,96	29,66	101,5	54,55	190535	131,84	78,78	75,39	49,99	49,45	85,58
2014.05.23	1900,53	312,24	563,8	61,351	40,12	100,98	29,49	101,32	54,53	190205	132,41	79,18	75,61	50,16	49,74	85,83
2014.05.26	1900,53	312,24	563,8	61,351	40,12	100,98	29,49	101,32	54,53	190205	132,41	79,18	75,61	50,16	49,74	85,83
2014.05.27	1911,91	310,82	574,87	63,48	40,19	100,81	29,61	101,36	55,14	191300	134,17	79,69	75,59	50,55	49,62	86,53
2014.05.28	1909,78	310,16	570,45	63,51	40,01	100,3	29,61	101,06	55,45	191356	134,33	79,68	75,53	50,44	49,74	87,07
2014.05.29	1920,03	313,78	570,56	63,83	40,34	100,76	29,6	101,27	55,72	192300	135,14	79,9	75,98	50,27	49,72	87,73
2014.05.30	1923,57	312,55	571,65	63,3	40,94	101,46	29,63	100,53	55,57	192000	135,25	80,23	76,77	50,78	49,96	88,33
2014.06.02	1924,97	308,84	564,34	63,08	40,79	102,17	29,71	99,94	55,35	191748	135,9	80,84	76,76	51,09	50,05	87,87
2014.06.03	1924,24	307,19	554,51	62,87	40,29	102,46	29,59	100,39	55,6	190417	135,88	80,67	76,71	51,09	49,29	88,22
2014.06.04	1927,88	306,78	553,76	63,34	40,32	102,68	29,64	100,04	55,68	190766	135,33	80,54	77,13	51,04	49,15	87,43
2014.06.05	1940,46	323,57	564,93	63,186	41,21	103,22	29,76	100,55	56,63	192100	136,82	80,38	77,32	51,63	49,28	87,76
2014.06.06	1949,44	329,67	566,03	62,5	41,48	103,18	29,42	101,6	56,97	192895	138,25	80,64	77,21	51,98	49,42	87,91
2014.06.09	1951,27	327,5	570,73	62,88	41,27	103,22	29,35	101,52	57,42	191917	137,96	80,61	77,01	52,51	49,57	88
2014.06.10	1950,79	332,41	568,3	65,77	41,11	104,1	29,5	101,46	57,9	192306,69	137,25	80,74	76,62	52,59	49,52	88,42
2014.06.11	1943,89	335,2	567,5	65,781	40,86	103,32	29,43	101,95	57,27	192357	134,1	79,81	76,16	52,24	49,37	87,78
2014.06.12	1930,11	325,91	559,5	64,29	40,58	102,53	29,45	101,66	57,04	190950	132,19	78,43	75,73	51,71	49,04	87,22
2014.06.13	1936,16	326,27	560,35	64,5	41,23	102,53	29,53	102,65	57,04	189520	132,29	78,07	75,28	51,9	49,18	87,19
2014.06.16	1937,78	327,62	552,3	64,19	41,5	102,45	29,61	102,92	56,87	189250	132,54	78,9	75,34	51,09	49,31	87,55
2014.06.17	1941,99	325,62	550,615	64,4	41,68	101,93	29,48	102,42	57,42	188990	132,45	80,02	74,99	51,66	49,21	87,28
2014.06.18	1956,98	334,38	560,66	65,6	41,65	102,81	29,71	102,73	57,78	190675	132,48	80,71	75,7	52,04	49,42	88,9
2014.06.19	1959,48	327	564,99	64,342	41,51	103,81	29,59	102,63	57,3	190491	132,82	80,44	75,87	52,02	49,47	90,1
2014.06.20	1962,87	324,2	566,52	64,5	41,68	105,27	29,78	103,83	57,55	190500	132,1	80,17	75,68	52,89	49,39	89,1
2014.06.23	1962,61	327,24	574,29	65,37	41,99	104,75	29,45	104,38	58,19	189900	130,85	80,64	75,79	52,98	49,73	88,39
2014.06.24	1949,98	324,16	572,54	65,72	41,745	104,59	29,3	102,73	57,42	190171	129,15	80,43	75,97	52,49	49,28	88,05
2014.06.25	1959,53	327,44	585,93	67,44	42,03	105,76	29,8	102,14	57,53	190660,05	127,06	80,53	75,62	52,6	49,41	88,58
2014.06.26	1957,22	325,69	584,77	67,13	41,72	105,65	29,59	102,03	57,39	190576	128,02	80,75	74,91	52,37	49,21	88,61
2014.06.27	1960,96	324,57	585,69	67,6	42,25	104,99	29,67	101,21	57,53	190559	128,54	81,13	75,34	52,9	49,32	88,76
2014.06.30	1960,23	324,78	584,67	67,29	41,7	104,62	29,68	100,68	57,62	189900,5	127,23	80,96	75,07	52,56	48,93	89,34
2014.07.01	1973,32	332,39	591,49	68,06	41,87	105,87	30,08	101,36	57,57	190500	128,15	81,82	75,28	52,72	49,37	89,13
2014.07.02	1974,62	332,85	590,78	66,45	41,9	105,86	30,37	101,57	56,97	191499	127,62	81,98	75,62	52,66	49,66	89,67
2014.07.03	1985,44	337,492	593,08	66,29	41,8	105,84	30,53	102,59	57,05	193600	128,51	82,05	75,75	53	49,71	90,02
2014.07.04	1985,44	337,492	593,08	66,29	41,8	105,84	30,53	102,59	57,05	193600	128,51	82,05	75,75	53	49,71	90,02
2014.07.07	1977,65	333,55	590,76	65,29	41,99	106,47	30,49	102,65	56,67	193000	129,09	81,42	76,07	52,5	49,75	89,86
2014.07.08	1963,71	323,81	578,4	62,76	41,78	105,72	30,15	102,83	55,76	192400	126,79	80,76	76,65	52,25	48,76	89,73
2014.07.09	1972,83	329,97	583,36	64,97	41,67	106,04	30,05	103,55	56,02	193040	126,79	80,73	77,21	52,19	48,9	89,77
2014.07.10	1964,68	327,92	580,04	64,873	41,685	105,8	30	102,57	55,56	192500	126,79	79,4	77,06	51,81	49,64	90,1
2014.07.11	1967,57	346,2	586,65	66,34	42,09	105,1	30,07	101,74	55,8	192900	128,09	79,61	76,82	51,49	50,32	89,85
2014.07.14	1977,1	355,32	594,26	67,9	42,14	105,38	30,24	102,68	56,29	193380	129,52	79,46	76,55	51,31	50,53	91,08
2014.07.15	1973,28	354,44	593,06	67,165	42,45	103,28	30,41	102,39	58,27	192776	129,1	79,86	76,84	51,35	50,71	90,34
2014.07.16	1981,57	355,9	590,62	67,66	44,08	102,22	30,96	103,77	58,71	192072	127,42	79,66	76,86	51,17	50,96	90,5
2014.07.17	1958,12	352,454	580,82	66,41	44,53	100,37	30,55	102,31	57,86	189811	125,88	79,55	76,61	50,68	50,32	89,99
2014.07.18	1978,22	358,66	605,11	68,42	44,69	101,8	30,73	102,73	58,23	192487	127,64	80,08	77,09	51,28	50,75	90,09
2014.07.21	1973,63	359,76	598,44	69,4	44,835	101,27	30,35	103,08	58,24	193030	128,3	79,71	76,77	51,05	50,7	89,91
2014.07.22	1983,53	360,84	603,57	69,27	44,83	102,47	30,49	103,54	58,67	192640	129,74	80,54	76,64	51,35	50,98	89,17
2014.07.23	1987,01	358,14	605,19	71,29	44,87	102,19	30,39	104,25	59	192205	126,71	81,02	76,99	51,33	50,91	90,82
2014.07.24	1987,98	358,61	603,01	74,98	44,4	102,2	30,34	104,28	59,17	192441	124,4	81,2	76,35	51,59	51,05	91,91
2014.07.25	1978,34	324,01	598,08	75,19	44,5	102,11	30,19	103,18	59,01	191224,94	123,2	81,03	75,97	51,6	51,28	91,55
2014.07.28	1978,91	320,41	599,02	74,92	43,97	102,11	30,1	104,37	59,19	192580	123,06	81,07	75,71	51,6	51,58	90,97
2014.07.29	1969,95	320	593,95	73,71	43,885	101,96	29,73	103,55	58,64	191158	122,32	80,98	75,44	51,54	51,97	90,14
2014.07.30	1970,07	322,51	595,44	74,677	43,5785	102,3	29,26	103,25	58,91	191716	122,29	81,76	74,78	52,1	51,76	88,91
2014.07.31	1930,67	312,99	579,55	72,65	43,16	100,09	28,7	98,94	57,67	188124	120,48	80,85	73,58	50,9	50,42	88,1
2014.08.01	1925,15	307,06	573,6	72,36	42,86	99,9	28,86	98,8	56,48	189279	120,38	79,75	73,54	50,35	49,83	88,11
2014.08.04	1938,99	313,65	582,27	73,51	43,37	100,16	28,75	100,13	56,65	194305	119,93	80,03	73,54	50,99	50,21	89,69
2014.08.05	1920,21	312,32	573,14	72,69	43,08	99,82	28,41	98,2	56,06	192499	121,27	80,03	73,34	50,4	49,66	89,2
2014.08.06	1920,24	313,89	574,49	72,47	42,74	100,71	28,28	98,98	56,23	193700	118,34	80,52	74,2	50,06	49,13	90,51
2014.08.07	1909,57	311,45	571,81	73,17	43,23	99,93	28,04	98,27	55,91	194001	119,84	80,47	73,95	49,7	48,65	89,9
2014.08.08	1931,59	316,8	577,94	73,06	43,2	101,08	28,34	99,74	56,34	196253	120,63	82,43	74,67	50	48,7	90,29
2014.08.11	1936,92	318,33	577,25	73,44	43,2	101,16	28,25	98,73	56,32	198000	120,8	82,88	74,36	49,89	48,67	91,79
2014.08.12	1933,75	319,32	572,12	72,83	43,52	100,63	28,08	98,49	56,35	199562	120,47	82,92	74,22	49,78	48,84	91,21
2014.08.13	1946,72	326,28	584,56	73,77	44,08	101,74	28,21	99,09	56,72	199609	121,98	83,12	74,03	49,99	48,92	91,74
2014.08.14	1955,18	333,21	584,65	74,296	44,27	102,02	28,73	99,09	56,98	202850	124,11	83,86	74,39	50,38	49	91,79
2014.08.15	1955,06	333,63	583,71	73,63	44,79	101,17	28,64	99,03	56,75	201227	123,16	83,69	73,9	50,21	48,8	91,85
2014.08.18	1971,74	334,53	592,7	74,59	45,11	102,7	28,84	99,52	57,23	202419	124,98	83,59	74,49	50,69	48,78	92,15
2014.08.19	1981,6	335,13	597,11	75,29	45,33	102,96	28,94	99,49	57,56	202600	125,58	88,23	74,88	50,86	48,7	91,86
2014.08.20	1986,51	335,78	595,41	74,81	44,95	103,21	28,89	99,7	57,64	202388	127,35	90,75	74,96	50,85	48,82	92,23
2014.08.21	1992,37	332,91	592,42	74,57	45,22	104,19	28,82	99,28	58,5	205159	127,5	91,15	75,55	51,29	48,87	92,05
2014.08.22	1988,4	331,59	592,54	74,57	45,15	103,1	28,92	98,5	58,49	203532	127,46	91,03	75,73	51,18	48,64	91,6
2014.08.25	1997,92	334,02	590,57	75,02	45,17	103,23	28,91	98,75	59,34	204579	128,33	91,2	75,69	51,45	49,15	93,19
2014.08.26	2000,02	341,83	588,12	75,96	45,005	103,44	29,21	99,64	59,74	204577	128,6	91,63	75,52	51,56	49,25	92,6
2014.08.27	2000,12	343,18	583	74,63	44,87	103,22	29,49	99,53	59,59	204741	128,2	91,87	75,85	51,34	49,43	92,23
2014.08.28	1996,74	340,02	580,32	73,855	44,88	102,95	29,38	99,57	59,16	204040	127,11	92,51	75,9	51,15	49,41	92,58
2014.08.29	2003,37	339,04	582,36	74,82	45,43	103,73	29,39	99,46	59,45	205880	126,8	93,5	75,5	51,44	49,82	92,49
2014.09.01	2003,37	339,04	582,36	74,82	45,43	103,73	29,39	99,46	59,45	205880	126,8	93,5	75,5	51,44	49,82	92,49
2014.09.02	2002,28	342,38	588,63	76,68	45,09	103,36	29,26	98,49	59,67	206740	125,48	91,15	75,75	51,57	49,77	92,48
2014.09.03	2000,72	339	589,52	75,83	44,96	103,76	29,4	99,11	59,7	206438	125,94	89	76,01	51,55	49,88	92,75
2014.09.04	1997,65	345,95	593,14	75,95	45,26	103,84	29,37	98,36	59,71	206820	125,46	89,93	76,56	51,57	49,72	91,85
2014.09.05	2007,71	346,38	597,78	77,26	45,91	104,42	29,65	99,26	59,91	206700	124,69	91,61	77,51	51,65	49,94	91,75
