Start Date	2014.01.01															
End Date	2019.01.01															
																
	SPX Index	AMZN US Equity	GOOGL US Equity	FB US Equity	MSFT US Equity	JNJ US Equity	PFE US Equity	XOM US Equity	JPM US Equity	BRK/A US Equity	BA US Equity	HD US Equity	WMT US Equity	WFC US Equity	VZ US Equity	PEP US Equity
	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST
2014.09.08	2001,54	342,34	601,63	77,89	46,47	104,05	29,4	97,77	59,89	207200	127,98	90,82	76,53	51,47	49,53	91,86
2014.09.09	1988,44	329,75	591,97	76,67	46,76	103,8	29,23	97,39	59,06	205305	128,21	88,93	76,74	51,07	48,9	91,42
2014.09.10	1995,69	331,33	593,42	77,43	46,84	104,99	29,44	96,81	59,22	206750	128,22	89,25	76,51	51,52	48,75	91,79
2014.09.11	1997,45	330,52	591,11	77,92	47	104,55	29,63	97,03	59,76	206850	127,64	89,22	76,1	51,59	49,01	91,65
2014.09.12	1985,54	331,19	584,9	77,48	46,695	104,58	29,43	95,78	60,03	205635	126,95	88,84	75,77	51,7	48,4	90,87
2014.09.15	1984,13	323,89	581,64	74,58	46,24	104,72	29,92	96,29	59,94	207110	126,31	89,38	75,81	51,94	48,56	91,2
2014.09.16	1998,98	327,76	588,78	76,08	46,76	105,88	30,05	97,43	59,99	207745	127,32	90,27	76,32	52,31	48,96	92,57
2014.09.17	2001,57	324	593,29	76,43	46,52	106,19	30,35	97,08	60,31	209000,09	127,76	91,22	76,24	52,51	49,21	92,85
2014.09.18	2011,36	325	597,27	77	46,68	107,35	30,58	96,61	61,32	212075,05	128,58	92,09	76,22	53,24	49,69	93,37
2014.09.19	2010,4	331,32	605,4	77,91	47,52	107,99	30,4	97,12	61,11	212000	129,35	92,34	76,84	53,36	50,35	93,79
2014.09.22	1994,29	324,5	597,27	76,8	47,06	107,88	30,18	96,54	60,91	208900	128,61	91,89	76,31	52,9	50,18	93,58
2014.09.23	1982,77	323,63	591,18	78,29	46,56	107,46	30,05	96,03	60,94	208445	127,38	91,49	75,6	52,1	49,91	92,93
2014.09.24	1998,3	328,21	598,42	78,535	47,08	108,64	30,31	95,82	61,63	209850	128,58	93,02	77,08	52,13	50,07	93,5
2014.09.25	1965,99	321,93	585,25	77,22	46,04	107,1	29,98	94,25	60,15	206000	127,14	91,9	76,12	51,41	49,61	92,67
2014.09.26	1982,85	323,21	587,9	78,79	46,41	107,1	29,72	95,43	60,56	208133	128,69	92,84	76,49	51,87	49,77	93,13
2014.09.29	1977,8	321,82	587,81	79	46,44	106,54	29,77	94,43	60,33	207321	128,77	92,88	76,08	51,69	49,75	93,15
2014.09.30	1972,29	322,44	588,41	79,04	46,36	106,59	29,57	94,05	60,24	206900	127,38	91,74	76,47	51,87	49,99	93,09
2014.10.01	1946,16	317,46	579,63	76,55	45,9	104,3	29,15	92,86	59,77	204855	124,67	91,02	76,12	51,26	49,43	92,65
2014.10.02	1946,17	318,41	580,88	77,08	45,76	103,85	29,06	93,3	58,84	206250	124,17	92,24	76,23	51,4	49,29	92,58
2014.10.03	1967,9	322,74	586,25	77,44	46,09	105,13	29,22	93,92	60,3	208750	126,36	93,54	77,32	52,1	49,71	93,5
